N,question,answer,relevance
516,кто возит запреты в авто? где прячете?,мы давно уже все делаем на автопилоте.,0
517,"а давайте скодим и подушку удивим, или вам еще рано?","мне уже не рано. спокойной ночи. спасибо за улыбки, а то настроение было совсем тоскливое.",1
518,милая. а к тебе лучше ручки протягивать или член?,"ручки, а остальное я сама найду.",1
519,иногда,иногда горбинкой или дубинкой?,1
520,что не может быть по определению вашего дуального разума?,"у него будет много хлопот, поездки, очень напряженная жизнь. в конце года его ждет большая удача.",0
521,"позволяет ли закон россия, штаты, другие страны отдавать лицензионный dvd просто так не беря плату?",безусловно и никакие документы не нужны-ваше право это подарок,1
522,что можно из не духовного дарить богу?. что вы обычно ему дарите?,утку вчера запекала можешь ничего не брать не обьешь,0
523,"что делать, когда из крана идет только горячая вода, а холодной нет вообще?","налить ванну, и, пока остынет, посидеть в ответах. а завтра звонить в жкх.",1
524,а у вас был инцест?,"нет, но в процессе могу тебя сестренкой называть, если хошь",1
525,кого вы себе завели?,черный что бы с фраком сочиталось,0
526,"металичиские, что бы шею не покусали",вампирчики,0
527,привет что ты умеешь расскажи о себе,у меня есть целый список команд - достаточно нажать на кнопку со знаком вопроса,0
528,"кстати, а че у нас там с перелетами в австралию","кстати, щас без понятия",0
529,"мне нравится ход твоих мыслей , милый я как раз хотела обновить гардероб","ну вот, а ты говорила не надо",0
530,сколько пальцев я показываю?,вам сколько,0
531,"каков смысл вести здоровый образ жизни и не попробовать ничего, чтобы умереть здоровым?","нет смысла. вы правы нужно свой дух обогащать, познанием о христе, а не только тело",1
532,"интересно какие эмоции испытывает бог, читая ветхий завет?","иисус многое что рассказал иудеям из библии, за что его и распяли",1
533,"а как вы зарабатываете в интернете? некоторые выбирают покер, ставки на спорт. а чем вы занимаетесь?",я фрилансером работал.,1
534,спирт можно запивать водкой?,"музыку, что звучит в душе, когда любишь.",0
535,"у вас так бывает заходишь в вопрос и не знаешь что ответить, что тогда делаете?","я стараюсь к интересным людям заходить, а им есть что ответить. ну на худой конец пашутить",1
536,какого хера я в чс,я не об этом,1
537,и частенько вам приходится. сожалеть. о содеянном?,"нет,, я всегда действую осознанно. но если жалею, то только о зря потраченном времени,. иногда",1
538,стоит ли бороться за свою любовь? или молча уйти с поля боя без боя?,всегда нужно бороться.,1
539,про нет сама сделалауже смешно,"а почему? тут заговорили, так у меня желание появилось и идея, либо портировать приложение, либо самому написать. думаю, что это приложение легко сделать, а весить будет много только изза картинок в нем. потому и удивлен про сама сделала наверное тоже дилетантом выгляжу теперь в ваших глазах",1
540,"как сделать так, чтоб пятница побыстрей прошла, и наступили выходные? как ускорить время?",шампунь с активатором роста волос. фирма золотой шелк. помогает.,0
541,или мне ничего не поможет,каким образом?,0
542,что будет если народ изберет президента с татуировками?,такого в принципе не может быть. у нас президентов назначают.,1
543,"не проще ли убраться тогда из россии в ту страну, где нет военной службы и воинской обязанности?",вообще то при получении загранпаспорта требуется военный билет,1
544,какая роскошь доступна. только вам?,мне доступно счастье общаться с тем кого люблю всем сердцем,1
545,под черны пояс белые туфли это нормально?,"да, если добавишь какой нибудь дополнительно белый аксессуар например серьги",1
546,"почему девушки такие когда им нужен они общаются с тобой, а когда нет пользы то перестают общаться и могут даже послать?","потому что понимают, что тебе все равно с кем общаться, в одиночестве не останешься.",1
547,что можно делать ночью на стадионе?,нет. он не рассчитан на вакуум.,0
548,"а может ли девушка, тетя, женщина, тдв-шница намокнуть и получить оргазму от посещения и нахождения в тдв?","я почитать, как тетки тебе врать будут",1
549,а вы довольны своей профессией? кем хотели стать и кем стали?,"хотела стать программистом, выучилась. а теперь домохозяйка, надеюсь что пока.",1
550,хотел узнать правда что в америке все на кредит?,"много чего, да",1
551,"допустим, путин не участвует в президентских выборах. кто победит жириновский, зюганов, миронов, навальный? или кто?",мне из них не нравится ни один не внушает доверия а навальный меньше всего,1
552,существует ли магия,"да, конечно существует но все в это верят пока не столкнутся с его действием.",1
553,флаг какого государства можно перепутать с российским?,"сербия, словакия, словения, хорватия, нидерланды. франция-? цвета да, а сам флаг не похож",1
554,выражение и негативных эмоций,так можешь на когото поругаться,1
555,зайчики не мурчат,так я то котик,1
556,на самолетах боишься летать?,я с самого детства предпочитаю самолеты другим транспортным средствам я про дальние расстояния.,1
557,а у меня были билеты но я не смог попасть,нас с отцом в платиновый сектор пригласили,0
558,лада гранта. стоит ли? брать или не брать?,"думаю нет, внешне не очень да и по характеристикам так себе",1
559,почему оказалось что людей легче всего купить деньгами?,"всегда покупают тем, чего у человека нетздравствуйте, ирина",1
560,"с годами стала замечать, что вкус апельсинового сока жестко ассоциируется с мартини. у вас тоже так?","видимо я старше, вкус любого спиртного с затяжкой сигареты ассоциируется.",1
561,женись на поле,у нас свободный секс,1
562,какую пользу организму приносит аромо баня?,"польза как и от обычной, просто комфортнее дышать.",1
563,что такое эволюция?,"это когда революцию устраивает не народ, а само правительство, как это к примеру сделал ельцин.",0
564,"напиться до синих помидоров, это как?",это когда на пасху помидоры начинаешь красить вместо яиц.,1
565,мы тоже так с бывшим просто дружили ,крепись,0
566,"а теперь можешь все тоже самое, только о себе?",как тебя мама называет?,0
567,какую справку можно получить у вас?,"если надо, то хоть каждый месяц. доза облучения там ничтожна.",0
568,"как сделать так, чтобы принося пользу обществу, приносить пользу себе?",тоже терпеть не могу торренты с дурацкими раздачами сидами и рейтингами.,0
569,а чо было то?,бред сумасшедшего:,0
570,что делать если колонки подключены а на колонках кнопка не горит?,заткнуть уши детям,0
571,какой у вас любимый цвет?,"ненавижу переносить жару в городе, плохо действует",0
572,"есть здесь высокие и стройные, а? или токмо лысые",канешна есть астальные все мелкие и низкожопные,1
573,"короче, пиздец","я все ж таки у бп склоняюсь, у меня было такое",1
574,где работаешь,разве я похожа на врунишку вот-те крест,0
575,пошли пиво пить,он уже отработал на сегодня,1
576,что можно исправить в женщине? а что нет?,"как и у женщин, первым делом мозги или их отсутствие.",0
577,как у вас с водкой?,вода как положено и вкусная,1
578,простые радости жизни,может быть стоит просто провести время с близкими.,1
579,"я то не изза актуальности, а потому что нравится.",приятного просмотра,1
580,как часто вы принимаете душ ванну?,"душ-раз в день точно, иногда-два, ванну не принимаю вобще-падает давление и могу потерять сознание",1
581,какой район?,дмитрий тоже отлично,0
582,не рискуй,и пропустила сообщение,0
583,а вы чувствуете разницу между лестью и искренностью? или так видно?,"видно, конечно, сразу но многие и искренней похвалы боятся на всякий случай",1
584,"нашла денег, решила взять свежую, что лучше шевроле ланос или чери амулет? они из иномаврок самые бюджетные","рено логан тогда уж, но не китайца точно",1
585,"кажется, курящих половина италии",с подами уже половина россии.,1
586,а ты к себе в сон кого впускаешь?,а меня никто и не спрашивает. заходят как к себе домой,1
587,потом исправим,обязательно,1
588,если есть возможность наловить много живых мух. что с ними потом поделать?,"укокошить вашего начальника водоканала. вода, думаю, появится.",0
589,что для вас значит телевизор,"средство отдыха, а иногда просто включаю чтобы небыло тихо",1
590,о чем вам думать труднее всего?,поздний вечер. особенно летний,0
591,официальныйяблокофон же,"а, у меня ондатра, та что я хз",0
592,"что надо сделать, чтобы ничего не делать? философы, подскажите","подсказываю, чтобы ничего не делать надо ничего не делать.",1
593,что такое любовь.,"любви нет, есть привязанность к человеку которую за частую путают с любовью",1
594,настроение хорошее отдыхаю еще,отдых это класс,1
595,"у вас в начале беременности. щимило сердце, понижалось сильно ад артериальное давление?",это все на гормональном уровне.,1
596,милота?,"я тебя не представляю конечно, но могу представить абстрактную девченку которая ходит по комнате и бубнит недовольная",0
597,что такое потусторонние силы?,нормальные баночки и содержимое нормальное. анализы иду сдавать.,0
598,"я ваще дс не люблю может как персонажи норм, но нынче фильмы перебарщивают с депресняком ладно в бетмне а когда в лиге киборга сделали уж слииишком унылым прям жесткий депресняк его гложит в каждой фразе с лицом еще такимв какойто момент фильма я просто перестал пытаться воспринимать серьезно этот перебор и уже это было смешно а не проникновенно","я вообще депрессивное стараюсь не смотреть, потому что грозит обезвоживание",1
599,будут отношения с мужчиной у меня в апреле?,"нет, отношений не будет. напишите в мае были отношения или нет, как вам здесь напророчили.",1
600,он просто за руку взял так крепко что мое сопротивление было безполезно,хахну я так и подумал,0
601,кто оплачивает услуги адвоката в суде,"в гражданском судопроизводстве виновная сторона, в уголовном государство или кто угодно.",1
602,ооооофрай как твои дела?,"хэй, привет",0
603,будет ли брить строительный нож?,будет. любой нож можно заточить до бритья.,1
604,почему некоторые реперы не поют а орут особено американцы,"потому что в каждом из нас есть животные инстинкты, таки м образом они дают о себе знать",0
605,что вы ждете от своей дальнейшей жизни?,налоги и для мужиков служба отечеству.,0
606,тепепь ты хомячка.,сейчас приду домой и буду триггер писать,0
607,когда у вас поет душа?,"когда любимый рядом, когда обнимет взглядом, тогда поет душа",1
608,какой предмет вам нравиться или нравился в школе?,"нравятся те уроки, где нормальные учителя и хорошо объясняют темы, а все остольные не очень.",1
609,"с трудом ли верите в искренность людей, когда они говорят о вас хорошее?",наоборот удивляюсь когда говорят плохо,1
610,"а вы чего делаете, что бы тело не потело?","конечно потакаю, во всем, и в отношениях тоже, но иногда и уступаю, как без этого.",0
611,ладно не переживай пока я побуду твоим парнем а там чего нибудь придумаем,занято уже.,0
612,будешь сосать,и как вы себе это представляете,1
613,как можно посмотреть чужие файлы на яндекс диске? как вообще можно зайти на чужой яндекс диск?,никак. доступ к открытым только файлам по ссылкам на них.,1
614,как включить принтер?,в розетку подключить и кнопку нажать,1
615,моя родина ссср а у вас какая?,"я родился в ссср, а живу в россии. значит обе и являются родинами.",1
616,а что лучше? переспать или недоесть?,"по-моему, они не ядовитые, но пробовать я бы не стала",0
617,бота зеркало нет еще,еще бы в гч позвала ахахах,0
618,на худой конец -это как?,так же как худой мир лучше хорошей войны.,1
619,а в чем основное различие католицизма от православия?,я вообще ни чем свистеть не умею,0
620,а если мозг чешется. что делать?,книжку почитаю и мастера вызову,0
621,что вы умеете предчувствовать?,"умею конеш. всигда отдаю сибе отчет что, где, когда, с кем и скока пить",0
622,как вы думаете. кто должен быть главнее в семье мужчина или женщина?,никто. равноправный союз на основе любви и доверии.,1
623,"они числятся как участники чата, но в реале их нет",боты в общем,1
624,"несхожи племя бессмертных богов и племя людей, что ходят по земле. вы согласны с гомером? а ведь шлиман нашел трою","сомневаюсь я, что боги топтали землю. им же здеся не климатит",1
625,при всд можно курить траву?,можно курить и при всд и при дсв и пока башню не сорвет. удачи.,1
626,господи какой пиздец,для меня он не плохой актер в принципе,0
627,как создать фан сайт?,только искренне уверовав во христа и приняв его праведность. своими силами это не возможно.,0
628,почему жены прихорашиваются только ради чужих мужчин,"я полагаю, основным критерием симпатии женщин к мужчинам является не голубоглазость и высота роста длинна. большинству женщин нравятся мужчины полигамы, ибо они обладают умом, шармом и особыми качествами привлечения женщин. это мужчины - хищники и охотники. если женщина им приглянулась, они, как ястреб на мышку, нападают на нее и редко отступаются, пока не добьются своего. знаю о чем говорю, поскольку у меня был такой приятель, он не был высок, голубоглаз. как говорят, - мужчина должен быть слегка пьян, вонюч, и чуть красивее крокодила гены. но в охоте на женщин он был неутомим, и, практически, каждый день возил к себе на обед в гараж, где он на втором этаже сделал евроремонт, новую женщину. и ведь таких красоток, никогда даже не поверишь, если не увидишь сам. это мое личное мнение.",0
629,"подскжите пожалуйста, сильно ли расходуется трафик при онлайн игре?",в волгограде тоже выращиваем и арбузы и дыни. кстати россия.,0
630,при какой температуре сгорают человеческие кости?,кости не горят. минеральная основа остается.,1
631,я начинаю проявлять заботуспамлю всякими милыми штукаминазываю забавными словами,"жиза, тоже самое. правда я еще и начинаю рисовать этого человека или картиночки ему",1
632,опять мне скучно,"и не стоит говорить всем о том, что тебе скучно.",1
633,"а почему от любви некоторые дрожат, она ж согревает?","потому, что жизнь заставляет быть кем-то выбор профессий достаточно велик",0
634,если я пойду на армейский рукопашный бой меня научат там всему??,прикладом по голове ударят и на этом обучение закончится,1
635,"до какого возраста женщине позволительно сохранять наивность, как вы думаете?","если есть что сохранять, пусть сохраняет. пока живет",1
636,чего боятся змеи? скажите пожалуйста правду. чего боятся змеи?,они всего боятся что не могут съесть. если только это не голодная анаконда.,1
637,"а все таки, как отучится дрочить, если такие сексуальные вопросы задают?",а зачем отучаться? что естественно то не безобразно,1
638,"обожаю, когда со мной соглашаются",хочешь послушать анекдот,1
639,"наверное по этому у меня нет друзей, я эгоист",разве эгоизм это плохо? любить себя не каждый может,1
640,как ты? чем занимаешься?,бездельничаю.,1
641,"сегодня третий день пасхи работать нельзя еще, чем займетесь?",пойду с сыном гулять. поиграю в любимую онлайн игру. поучу языки.,1
642,можно ли закусывать немытыми огурцами?,"можно, особенно с грядки прямо, да помидорчик с укропчиком, никакая икра не заменит",1
643,как часто надо чистить напольные ковры?,"чем чаще тем лучше, а лучше их вообще выкинуть. пылесборники.",1
644,ты еще киберпанк не видела.,а оно мне и не надо,1
645,где вы видели справедливость в этой жизни?,"все, что приносит радость в жизни либо аморально, либо незаконно, либо ведет к ожирению.",0
646,на скока вы похотливы?,"распущенность ума ведет к распущенности тела. вот и подумайте, насколько я похотлива",1
647,"а вы умеете прощать? вот так, чтобы потом не припоминать и не держать где то глубоко внутри?","умею. я не злопамятный человек, но мстительный. отомщу и прощу",1
648,есть ли у вас такие люди с которыми бы хотели изменить отношения на более близкие или наоборот?,сжала волю в кулак. последствия близких отношений могут быть непредсказуемыми катастрофически,1
649,"че делать, когда кис-кис заело?","будет что-то очень новое, ведь энергия не исчезает, а переходит в другой вид",0
650,если женщина психиатор говорит сама на себя что я настоящая дура. то кто тогда те кто к ней обращаются?,сохранность самокритики один из признаков психического здоровья.,1
651,привеееет ,"привет, все хорошо",0
652,должна ли быть женщина активной или нет?,в семье и сексе иногда в карьере чаще.,1
653,как там? какихто км от москвы и вы в россии,"загадка:окрестности москвы, буквответ россия",1
654,как выбрать парфюм который мне подходит?,"говорят, лучшие духи те, которых вы на себе не ощущаете",1
655,что такое для вас сахар? в,"ер -провластная партия, но путин в ней не состоит и лидером не является.",0
656,"вы толерантны? если нет, то как вы можете объяснить свое неприязнь?",мы толеранты к тем кто толерантен к нам однако,1
657,"а все-таки, в какой позе лучше всего иметь совесть?",в позе лежа. а так может и выпасть.,1
658,кофе вы пьете со сливками или без?,кофе редко. и только без сливок. сливки это уже кулинарное извращение.,1
659,в это трудно поверить,приятно слышать такие вещи,0
660,"да. пробуют все на зубок. телефоны, сумки, обувь.",вотвот по этому и отставила эту идею,1
661,"что будет, если я удалю в всю папку виндус с диска с?","хреново сашка будет, ну конечно если ты ее еще сможешь удалить.",1
662,что значит роковое влечение? может ли оно быть положительным?,"это влечение обычно с печальным концом, обычно летальным и зачастую не по своей воле",1
663,что загрязняет воздух?,выхлопные газы.,1
664,а вы книжки вообще читаеет. а какие?,а. с. пушкин стихи вот что читаю сейчас,1
665,хорошая,лучше всех,1
666,какой мужчина для женщин лучше умный или мудрый почему,"умный - значит, обладающий знаниями. с ним интересно, есть о чем поговорить, посоветоваться. мудрый - не только обладает различными знаниями, опытом, а и умеющий применять их на практике. для семейной жизни, конечно, больше подходит мудрый мужчина. если к этой мудрости еще прилагается любовь к своей женщине.",1
667,"выпала пломба, проглотила. теперь в животе зуб вырастет?",и кариес начнется,1
668,а что главное в жизни королевы?,"только дома, а на работе переменная облачность.",0
669,вот куда проклятие надо направить,"не. если человек понимает, то нет",0
670,ты очень близок к политическим темам и я чую желание скатиться в туда.не рекомендовываю,да все он довыебывался уже,1
671,ес бы была возможность то сколько собак у вас было и каких пород?,создатель о себе в библии говорит. ни один человек не может увидеть меня и остаться в живых.,0
672,"когда на улице морозит, вы ходите в валенках?","наоборот, иду к своему внутреннему ребенку, прислушиваюсь к нему",0
673,куда сходить с девушкой в нижнем новгороде,"если девушка вас ненавидит, то на это могут быть свои причины. попытайтесь понять, какие поступки спровоцировали ненависть, чтобы не игнорировать ее до конца жизни. уточните причины в разговоре с глазу на глаз.",0
674,тебе нравятся брутальные мужикиили хлюпики?,нурмальные веселые без комплексов нежные брутальной я могу быть если надо и сама,1
675,кто в самп играл,мне не оч понравилось,0
676,умеют ли красивые парни любить?,умеют. на каждую хитрую жопу найдется своя клизма,1
677,как быстро загореть? стоит ли идти в солярий?,"лучше на солнышке загорать, а потом пару раз в солярии закрепить",1
678,у меня бабушка умерла,а в смысле ты уехал на похороны и она расстроилась что ты уехал? ну может надо было ее с собой взять,0
679,ты про шлюху?,и не только,0
680,вы своих начальников сильно любите?,в данный момент мой начальник -это мой муж. и естественно я его люблю.,1
681,зачем это,чтобы лучше узнать друг друга,0
682,простатит инфекционная болезнь?,"простатит может быть как инфекционный, так и неспецифический.",1
683,какием образом вы боретесь с ментовским беспределом?,"точно кактус, только не цветущий",0
684,"если жена сказала -выбирай, или я или пиво? сколько пива запросить?",бидняга. как жа выбрать между воблай и пивом та?,1
685,москва перестанет быть столицей россии когда ни будь?,"все может быть. примеров много, где. столицы не крупные города.",1
686,я очень очень опечален этим фактом,"но делать нихуя не будешь, знаю, бро",1
687,от чего зависит выбор того или иного пути?,выбирай путь сердцем а не разумом,1
688,как стать провайдером?,получить лицензию построить узел связи подтянуть клиентов,1
689,"слышали грефа назначили сбербанк рулить что будет, как вы думаете не сдохнет сбербанк деньги не пропадут?","ничего. россия не сдохла. сбербанк тоже не сдохнет. может, даже процентов будет больше платить.",1
690,возвращать будешь?,всегда возвращаюсь вершить справедливость,0
691,ой извини,все хорошо,1
692,"нормально вчера думал что не усну, а нет, уснул только в путь","тоже вчера както внезапно ушла в сон, прям вырубило",0
693,какой грубый,так это троллинг дружеский. я обиделся :,0
694,"кстати, бревна девушки бывают изза того что партнер. ладно",да похуй бревно не бревно чи не,1
695,"как известно, за семейное счастье надо бороться. и с кем же вам приходится сражаться и какими методами, если не секрет?",практически только с собой иногда с любовницей,1
696,"подскажите, что сделать, чтобы увеличить посещаемость моей страницы в контакте среди друзей?","стать интересной, писать заметки, размещать хорошее видео.",1
697,"почему бессмертие не радует, а конечность жизни наполняет жизнь каким-то мистическим смыслом?",мистика не только связана с концом жизни. мистика пронизывает всю нашу жизнь.,1
698,у вас есть секрет? какой?,"сначала в загс, потом в роддом.",0
699,он не пишет.,а ты еще подожди,0
700,"как вы считаете, ревность полезна?",признак ухода и коррекции налицо.,0
701,"в библии поясняется что, мировое правительство в руках сатаны. почему?","библеисты не знали, что такое снег, а ты про мировое правительство.",1
702,как вы относитесь к блондинкам?,на близких а потом извеняюсь прощу прощения,0
703,что такое здравый смысл,"это то, к чему стремятся в настоящий момент",0
704,как отличить физическое и юридическое лицо?,у физического один член у юридического целый коллектив,1
705,"вы в какого бога верите, который в вас или который в библии?",который сотворил все видимое и невидимое и вдохновил записать библию.,1
706,"так что, кофе несешь?",и кофу и натуру,1
707,"норм и проезд дешевле, странно",ну мы много за отопление платим! морозы,0
708,а я в чат кидала,когда?,1
709,как думаете помогут ли мне приемы шотокан каратэ защититься на улице?,это просто невозможно в этом мире и в это время.,0
710,а часто ли вам снятся эротические сны?,все да не все. стареем мы и круги своя все уже и уже.,0
711,браво сша,"нет, все не так",1
712,вы стараетесь употреблять сырые овощи для сохранения витаминов?,"да конечно морковь, капусту, редис, помидоры, огурчики, перчик красный болгарский обожаю",1
713,хороший любовник-это опыт или тех. характеристики?,"блин, я тут подумал у кого хорошие технические характеристики, он и опыта хорошего набирается.",1
714,"блин думал отдыхать на азовском, но придется ехать на украину",в украине хорошо. сам туда часто отдыхать езжу. родственники в крыму.,1
715,"что будет, если вы свой телефон дома забудете? драсте кстати",уж лучше ждать с нетерпением,0
716,ногти в ужасном состоянии. что делать?,"заранее вымойся, ведь в баню с женщиной не мыться ходят, а играть в шахматы, а ты че думал?",0
717,"вы различаете верующих и людей ставших жертвами сектантов, типа евангелистов, кришнаитов, си и харизматов?",это не жертвы. это их позиция.,1
718,а чего это я не забанилась?,именно по этому он такой борзый,0
719,"летом можно ходить на турник, брусья, а чем заниматься в холод зимой чтобы поддерживать в форме себя?","можно заниматься дома. разборные гантели, потолочный турник, доска для скамьи этого достаточно.",1
720,секс - это один из способов выражения любви,а ты занимаешься сексом,1
721,можно ли наносить жидкие обои на стену покрашенную краской?,нужна краска с хорошей укрывистостью.,0
722,я надеюсь никто не видел как я сложить не мог.,все видели,1
723,"запишите молекулярное, полное и сокращенное ионные уравнения реакции гидроксида калия с сульфидом цинка",сульфид цинка нерастворим.,1
724,а какое произведение русской классики любимое у вас? почему?,"евгений онегин. это потрясающая кладезь лирики, иронии и, конечно, энциклопедия русской жизни",1
725,или ты все мои ждешь,и свои кидай,1
726,в российской думе полно депутатов украинцев к чему бы это?,"а в нашей раде полно депутатов-русских. махнем, не глядя?",1
727,должна ли девушка хранить невинность до брака не вредно это для здоровья,"я бы не сказал, что просьба девушки называть ее зайка это прихоть. скорее всего, что при уменьшительно-ласкательных выражениях у нее просыпаются чувства. она больше тянется к мужчине и отдает энергию любви. ну, а что стоит человеку сказать это слово, зато сколько эмоций и грандиозный эффект.",0
728,можно ли позволять детям крушить и ломать ради веселья старые и ненужные вещи?,если ненужные почему бы и нет. главное объяснить им где нужные вещи а где не нужные,1
729,не возьму в толк,и чему это,0
730,"что делать, как знакомиться, если со здоровьем не очень?",лечиться сначала,1
731,"вы верите интуиции животных? кошки нейтрализуют негативные места и лечат, собаки чувствуют опасность, как вы думаете они",они энергетику хорошо видят и присутствие духовсущностей ощущают.,1
732,отличного дня!,и тебе чтоб удача была на твоей стороне,1
733,для бога все мы равны и верующие и атеисты?,имеется в виду изначально все равны. а кто уж сколько за жизнь накосячит неизвестно,1
734,почему мужчины предпочитают некрасивых девушек,"спортивные девушки бывают разные. и если мы говорим о перекачанных, пересушенных, то не нравятся они многим. обычная девушка, регулярно занимающаяся спортом, но не зацикленная на этом, не нравиться, на мой взгляд, нормальному мужчине не может. у такой девушки подтянута кожа, нет обвисших складок жира.",0
735,какую вершину ты еще не завоевал? а на какое уже стоишь? а на какую даже желания нет. для восхождения?,свою вершину. пока завоевываю. почти до середины уже доползла.,1
736,поеду ли я в арабскую страну,"зачем тебе туда, не лучше ли в западную европу",1
737,какие химические процессы происходят у анода и катода нейтральные электроды при электролизе расплава бромида натрия?,"а какие там могут быть процессы, если в электролизере нет ничего, кроме ионов натрия и брома?",1
